section,title,key,style,ticker,contribution_ann_%,contribution_total_%,share_of_pnl_%,gross_contribution_ann_%,cost_ann_%,avg_gross_weight,avg_net_weight,days_held_%,long_days_%,short_days_%,ann_turnover_x
3.1,Price-momentum,3.1.price_momentum,momentum,TSLA,0.051444174371323786,0.5313856582879198,-3.4513663929091933,0.05496458867409496,0.0035204143027711796,0.002625761143936204,0.0008317488717611513,74.22205147906263,45.024971187091815,29.1970802919708,0.07040828605542358
3.1,Price-momentum,3.1.price_momentum,momentum,URI,0.05110003498538789,0.5278309169323996,-3.4282782371440264,0.05463698751257217,0.0035369525271842536,0.002407191608013117,0.0009468988222017716,64.57933154053016,44.94813676527084,19.631194775259317,0.07073905054368508
3.1,Price-momentum,3.1.price_momentum,momentum,PH,0.05099493565216865,0.5267453075499801,-3.4212271704095922,0.054814565433979306,0.0038196297818106507,0.002207762397849899,0.0013693596553367177,51.44064540914329,38.80138301959278,12.639262389550519,0.07639259563621302
3.1,Price-momentum,3.1.price_momentum,momentum,IT,0.05050682867636027,0.5217034723990706,-3.388480294149321,0.05584642283724267,0.005339594160882398,0.0021848385798907562,0.00030940767121132544,50.24971187091817,30.119093353822514,20.13061851709566,0.10679188321764793
3.1,Price-momentum,3.1.price_momentum,momentum,MSFT,0.04912544540533489,0.5074346602781219,-3.2958039152277534,0.053553410909599544,0.004427965504264648,0.0024274678881203945,0.0016781491144067424,52.01690357280061,45.25547445255474,6.76142912024587,0.08855931008529297
3.1,Price-momentum,3.1.price_momentum,momentum,TSCO,0.049051672356967745,0.5066726315285199,-3.2908545147767128,0.053651897502101864,0.00460022514513413,0.0022503785786196907,4.699489113643164e-05,48.29043411448329,24.356511717249326,23.93392239723396,0.09200450290268261
3.1,Price-momentum,3.1.price_momentum,momentum,BA,0.04796042686278031,0.4954007584278458,-3.2176433480881963,0.0519496178734961,0.003989191010715779,0.00271736889978076,3.2696625776387306e-05,64.96350364963503,30.887437572032272,34.07606607760277,0.07978382021431558
3.1,Price-momentum,3.1.price_momentum,momentum,BSX,0.046085129887278385,0.4760301313356573,-3.091830522106108,0.05158562861669005,0.005500498729411653,0.0027692737709153325,0.0008852397449773121,54.09143296196696,34.46023818670764,19.631194775259317,0.11000997458823306
3.1,Price-momentum,3.1.price_momentum,momentum,TPR,0.04572624439161026,0.4723230720292123,-3.0677530565079434,0.04975900108097539,0.0040327566893651355,0.002762263810059508,9.351220033206532e-05,71.22550902804457,30.31117940837495,40.91432961966961,0.08065513378730271
3.1,Price-momentum,3.1.price_momentum,momentum,CAH,0.04511143608504864,0.4659724925769111,-3.0265058452681997,0.04947744164703555,0.004366005561986915,0.002825751388444941,0.00026886101522599994,59.854014598540154,27.122550902804456,32.73146369573569,0.08732011123973832
3.1,Price-momentum,3.1.price_momentum,momentum,SNPS,0.04412975658635021,0.45583236664392696,-2.9606454116657446,0.04835997281013726,0.004230216223787051,0.002572293580092501,0.001799761363461122,52.82366500192086,44.56396465616596,8.259700345754899,0.08460432447574101
3.1,Price-momentum,3.1.price_momentum,momentum,CDNS,0.042706178388365046,0.44112770771791354,-2.86513819417713,0.04860349441462028,0.005897316026255238,0.0028209698706516107,0.0020284696281701042,57.01114099116404,48.636189012677676,8.374951978486362,0.11794632052510477
3.1,Price-momentum,3.1.price_momentum,momentum,GRMN,0.04051810553295238,0.41852630437410737,-2.718341375864935,0.04382661918030766,0.003308513647355274,0.002130966467123137,0.000728323836183259,50.480215136381105,36.22742988859009,14.25278524779101,0.06617027294710548
3.1,Price-momentum,3.1.price_momentum,momentum,FTNT,0.04039066359713473,0.4172099100926258,-2.7097913540266303,0.044901645215322764,0.004510981618188041,0.0024466362472428333,0.0011271716298190714,58.624663849404534,40.91432961966961,17.710334229734922,0.09021963236376082
3.1,Price-momentum,3.1.price_momentum,momentum,ISRG,0.039311676966021204,0.40606466326409996,-2.637402628917663,0.044376756179886255,0.005065079213865049,0.0027763120807156472,0.0010981635812135529,57.7794852093738,39.49289281598156,18.28659239339224,0.10130158427730097
3.1,Price-momentum,3.1.price_momentum,momentum,JPM,0.038182511648576896,0.39440110246526056,-2.561647438436109,0.043266371307457044,0.0050838596588801506,0.0024947127788407016,0.0011606230042194292,52.01690357280061,37.95620437956204,14.060699193238571,0.10167719317760303
3.1,Price-momentum,3.1.price_momentum,momentum,NEM,0.038175610210083866,0.39432981498749325,-2.561184424048792,0.04400146563811752,0.005825855428033683,0.0027321357339728197,0.0001137859589399235,62.8505570495582,29.427583557433728,33.42297349212447,0.11651710856067367
3.1,Price-momentum,3.1.price_momentum,momentum,CRL,0.037684330172227075,0.38925520412026615,-2.528224668490712,0.04193027010550736,0.004245939933280287,0.0024476916976768023,-0.00013912622274325165,53.937764118325006,21.16788321167883,32.76988090664618,0.08491879866560573
