ticker,strategies,mean_contribution_ann_pct,best_contribution_ann_pct,worst_contribution_ann_pct,profitable_strategies_pct,avg_gross_weight,avg_net_weight
TROW,28,-0.0001873330405575268,0.04445839863696658,-0.07854980894479496,57.14285714285714,0.001997030720858011,0.0004212340537828066
GIS,28,-0.0002475941963080941,0.05412997235741953,-0.03726238017381776,46.42857142857143,0.0025046475871739957,0.000719378607071386
TEL,28,-0.00035598376125950203,0.051564317506430334,-0.08856619950206128,42.857142857142854,0.001933876917864968,0.0007171236009559009
AES,28,-0.00037331795654198463,0.07016089899169362,-0.08155824750469545,67.85714285714286,0.0022398612546515686,0.0005150413064533095
LYV,28,-0.0005383528442364792,0.08905451838472442,-0.05101524596406935,42.857142857142854,0.0023155274934849256,0.000973843290532498
HCA,28,-0.0005741424050890049,0.055011550002472986,-0.05945582340180692,39.285714285714285,0.0022021028828379248,0.0008905689241026013
MNST,28,-0.00058497916022894,0.03859265824741306,-0.08107098358649685,50.0,0.002231907672733306,0.0007968720141385354
ROL,28,-0.0006928275556843458,0.11149418997206194,-0.06972863842411979,50.0,0.002352296403822201,0.001047435807690264
HIG,28,-0.0007640113589797896,0.050602271926772864,-0.09486849562166069,53.57142857142857,0.0021935403769884876,0.0010331974144710027
CNP,28,-0.0007744187248186898,0.040609602066293375,-0.04455837600830987,46.42857142857143,0.002342205344865302,0.0010057788265353071
BALL,28,-0.0008452939710748479,0.037259917523040496,-0.04478309455899399,50.0,0.0021088438284797527,0.0005395004627443408
NEE,28,-0.0009084507557105746,0.05772721178000178,-0.0829736224600144,42.857142857142854,0.002370585570815734,0.0011048552204613537
TRMB,28,-0.0009712190210763161,0.03928138240693928,-0.04366100459707501,42.857142857142854,0.002045315072256106,0.000575720555893643
SWKS,28,-0.0010019353908529182,0.054537661009936435,-0.07045385215825298,46.42857142857143,0.002125350711789923,0.00027614302176155313
NXPI,28,-0.001049224205836122,0.06869172033498994,-0.09261342343789246,42.857142857142854,0.0020980114733348035,0.0006857091299424749
NTRS,28,-0.0011776300131431667,0.08703923771603181,-0.04002960596521741,46.42857142857143,0.0019384912496011215,0.0005140973508977063
EXPE,28,-0.0012845759655225229,0.07476776442386693,-0.09118552213278504,46.42857142857143,0.002179163525160152,0.0006604204063081016
VLO,28,-0.0014070147060222364,0.09435775640234285,-0.08357993495316016,46.42857142857143,0.0025102789375325346,0.0008871664969323275
COR,28,-0.001491740716016841,0.09296777415751095,-0.10552805621903998,46.42857142857143,0.002399700413919868,0.0010380708284922298
PLD,28,-0.0015226928886450124,0.0876091759381257,-0.04402345099413593,35.714285714285715,0.002128000716316725,0.0008231863421718323
CBRE,28,-0.0016409915085470286,0.05291789135365079,-0.07053316296929499,46.42857142857143,0.0020882260403797524,0.0007471226186460628
XOM,28,-0.0016669517783965378,0.04618755207503601,-0.05714111480357608,53.57142857142857,0.002213766965763896,0.0006578481898861753
CHRW,28,-0.001697179482224188,0.06142321340091159,-0.056734384376665475,39.285714285714285,0.002160969898772927,0.000716305994762758
TJX,28,-0.0017303607899383305,0.08689178722513065,-0.07928899081079921,46.42857142857143,0.0022535773144714034,0.0010290629750950128
PKG,28,-0.0017784202744848536,0.03703942853684072,-0.09207617445034864,53.57142857142857,0.002005262036314942,0.0007908039858290641
HSY,28,-0.00184244598934215,0.07933037191106378,-0.055245959207343785,50.0,0.0024452561211572173,0.0009316533820528531
ORCL,28,-0.0019289135807154972,0.06844816484623213,-0.06264256070490806,50.0,0.002250379908682386,0.0008696075767653727
ESS,28,-0.0020832560611804022,0.04043353215843216,-0.052120884908109254,35.714285714285715,0.0020651098622304362,0.000673378909269959
SPGI,28,-0.002097708888741154,0.06337809255202859,-0.0736577067939576,42.857142857142854,0.0022838353663214373,0.0010602782222030535
ED,28,-0.002213186751277637,0.4372357361582276,-0.06581357718623355,28.57142857142857,0.0031262774963792634,0.0017375048369745907
GEN,28,-0.00222810090523888,0.0535715330940362,-0.08127189010423634,46.42857142857143,0.002298698846103843,0.0007408766814154837
ROST,28,-0.0022505389887208607,0.06062400989794517,-0.12068852833287078,57.14285714285714,0.0021697931196947152,0.000830842566487889
EW,28,-0.002448648920870104,0.07095738131039547,-0.10959874878434539,46.42857142857143,0.002163196944053181,0.0006889264022932337
FAST,28,-0.0024846831027954927,0.062334279126724644,-0.079400838849502,42.857142857142854,0.002145432739080026,0.0009364849131738513
BKNG,28,-0.002597723384742283,0.03889845071573361,-0.06769074232040023,46.42857142857143,0.002160414020578575,0.0007645304537451137
GILD,28,-0.002715123238889475,0.1893742378629038,-0.1569881309636175,57.14285714285714,0.0023428102956841485,0.0007328579916807467
AME,28,-0.0027722482592863118,0.047140941218877255,-0.049433231972379255,32.142857142857146,0.0019598801353157324,0.0008482914362613224
BA,28,-0.002780925261840698,0.0675109141827738,-0.07867741644575024,46.42857142857143,0.0023541028827976187,0.000616544111546421
